Date,MLP_PRED
1/1/2019,3187265.763
1/2/2019,3345821.652
1/3/2019,3303347.579
1/4/2019,3248698.803
1/5/2019,3125800.206
1/6/2019,3047278.537
1/7/2019,3003910.139
1/8/2019,3036586.534
1/9/2019,3116863.902
1/10/2019,3103712.731
1/11/2019,3247660.745
1/12/2019,3223737.94
1/1/2020,3158291.333
1/2/2020,3318277.839
1/3/2020,3254707.09
1/4/2020,3728985.162
1/5/2020,3996422.154
1/6/2020,3876490.718
1/7/2020,3869283.395
1/8/2020,3726714.828
1/9/2020,3824213.699
1/10/2020,3766315.627
1/11/2020,3858353.037
1/12/2020,3869384.301
1/1/2021,3912221.43
1/2/2021,4009699.988
1/3/2021,4035329.803
1/4/2021,3918064.318
1/5/2021,3891137.916
1/6/2021,3712272.901
1/7/2021,3526572.708
1/8/2021,3314188.287
1/9/2021,3298585.177
1/10/2021,3227346.773
1/11/2021,3269586.948
1/12/2021,3154390.353
1/1/2022,3077437.302
1/2/2022,3147892.723
1/3/2022,3120394.474
1/4/2022,3122348.265
1/5/2022,2995872.205
1/6/2022,2905951.307
1/7/2022,2905954.728
1/8/2022,2936280.001
1/9/2022,2992088.315
1/10/2022,2992795.872
1/11/2022,2943437
